,parent,file,context
0,Kexholm,0069_0071,"mma komne, icke något förfallandhes Anno 1660 d. 4 Februarij höltz laga Rådhstugu Dagh uthi präsens Borgormester H. Casper Gröninsk och Samptlige Rådhmans Ähr icke något förekommit, allenast några Civil Sa"
1,Kexholm,0181_0183,"g skulle reeskärdige giöra, att undfå mehrb:te Commissa rier med sijne hästar till Hälsing fårs och Borgo- så många som nödigt giordes, så wäll som dett, dher låta förnimma i Wiborg, om dher syne hästar di"
2,Kexholm,0249_0251,"onde Simon Pärsinen b. och der sijdan droge ferdt intill Staden; Sådan opplagde Grelß Larßon twänne borgone här ifrån Kexholm benämde, Nils Nolfwi och Grelßon som sådant hafwa heike afhämptat; Men hwart de"
3,Kexholm,0261_0263,"o 3 Dito klagade H. Anna Michelß dotter öfr i Stadhens Torpare Staphan Jäskäläin be:de att han hade borgort för en bonde I Jäskis, 17 Dr Kmt Swaranden siger sig alldrig sådant hafwa giordt tillbiudandes si"
4,Kexholm,0459_0461,"oinen kunde sig intet något förklar- opå denna frågan; uthan sade sig willia förskaffa bewijs ifrån Borgo, och instodh opå Dilation 3 Men honom blef swarat af Blankenhagen, att han länge nogh hade hafft di"
5,Kexholm,0463_0465,"de wijdare komma; då aftaklade der ste Lådian, och förwarte alle Skutsakerne Men Eskall reeste till Borgo och köste twå st: hustar, och när han kom tillbaka medh haf ne; begynte han att föhra Saltet i twå "
6,Kexholm,0463_0465,han af försummelse icke hafr låtit lådian oppbränna? Rp: Begierte dilation på 8 wekor att han ifrån Borgo kan skaffa sig beskeedh huru dett är tingångit Denne dilationen blef honom effterlåtig Den 1 feb: w
7,Kexholm,0477_0479," Kongl Hofrätt hade pålagt hans witter än i Pälinge, att skola afläggia sin Edh före Borgmästaren i Borgo, Mantandes nu alle- est opå dhen högh Kongl. hofrätt resolution Rätten swarade Eskim tierhoin, att "
8,Kexholm,0477_0479,"tt warande: snart förskaffa sig; eller till dett instone ett bewij på sitt föregijfwande hämptat en Borgo i hoarföre man intet annat kan præ- summera, ähn att dett uthgår på fåfänge undan; lychtar; doch at"
9,Kexholm,0485_0487,"Attesters uthdr lande emot haar andre, uthi en sak, och för en domar som war Borgmästaren Plagman i Borgo hwarföre Johan Pirhoin begiärte, att Eskall skulle all den skede Johan oppfylla, som han af sådians"
10,Kexholm,0752_0755,"kopens Doct:r Petter Bångz Skrifftlige Vocation och anled- ning till det nu Vackerande Rectoratet i Borgo, och såsom han är sinnat sigh till samma ort begifwa. Altså anhölte han af Rätten ett Testimonium v"
11,Nyen/RO_1697,0022_0023,"Bonden Jöran Kiskonen angaf Mårten Anderson och Arfwed Erichson, hwil- ka begge sade sig wara ifrån Borgo Sochn, det dhe i går om natten ifrån hans hem- wist stulit någre stycken brödh och något gryn, och "
12,Nyen/RO_1697,0087_0088,"anten och gaf tillkänna sig wara af Ryttmest:n Wälb: Johan von Königstedt medelst dess bref Daterat Borgo d: 29, Martij, som han nu framtedde, committerat att låta här å Ohrten Lagl. confirmera det Contra-"
13,Nyen/RO_1697,0094_0095,"n Bar- thold Lindum een Supplication, gifwan- des deruthinnan tillkänna huru såsom Handelssmannen i Borgo Johan Schu- macher skall uthan någon föregången Inven- tering, wärdering eller dy lykt sig hafwa ti"
14,Nyen/RO_1697,0094_0095,"uthan någon föregången Inven- tering, wärdering eller dy lykt sig hafwa tillägnat och härifrån till Borgo bort- fördt een anseenlig hoop af dess Sahl. Bro- ders fordom Borgarens här i Staden Matthias Hinri"
15,Nyen/RO_1697,0125_0126,"reditor kunde mainfineras, pro- ducerandes nu till öfwerflödh een obliga tion, som Handelssmannen i Borgo Johan Schumacher tillijka med Handelssmannen Johan Andreas Ritter underskrifwit, Da- terat d: 12 Ju"
16,Nyen/RO_1697,0147_0148,"hr 1653. / Såssom opå Handelssmannens Johan Andreas Ritters giorde ansökning, Handelss mannen ifrån Borgo Johan Schumacher till i dag är stämbder för denne Rätten, angde dhe saker, Schumacher utan Inventa "
17,Nyen/RO_1697,0150_0151,"an intet nembt, på samma ledig lagt hafwa, hwilken Råg skolat i Pellinge blif- wit optagen och till Borgo förd att försäl- lias. Rätten tillfrågade Påhl huruledes Skiepp:n och folcket kunnat komma till Rå-"
18,Nyen/RO_1697,0175_0176,"nrich Luhr, Johan Georg Fenisch och Au- gustin Börman./ Förehades Borgarens och Handelssman- nens i Borgo Johan Schumachers till denne Rätten d: 11 hujus ifrån Borgo af färdade skrifwelse, som inlades d. 2"
19,Nyen/RO_1697,0175_0176,"hades Borgarens och Handelssman- nens i Borgo Johan Schumachers till denne Rätten d: 11 hujus ifrån Borgo af färdade skrifwelse, som inlades d. 25 Dito dessmedelst 343 Gabriel Christo fersson att under håk"
20,Nyen/RO_1697,0178_0179,"ill Revall, hwar opå dess hela wälförd skall hengia, beropandes sig i så måtto opå Magistra- tens i Borgo d: 21 Junij nästlne uthgifne Attestatum, med mehra hon så wijda än drager; Men som 1o Magistraten i"
