,parent,file,context
0,Kexholm,0323_0325,"hrning du strax af Compagnies besökiaren honom på änsmå ifrån tagen, förr ähn han uthi detta Lähnet ingre inkom, så wäll som och att icke honom be- ijses något der af hafwa rördt eller försåldt, och i öfrf"
1,Kexholm,0424_0426,"iäldt honom och hans hustro, och att Samuel skulle jagat effter honom med en knijff? R att staphan, Inkernaises hustro, skulle detta warta. Tillspordes Stadztiänaren om han samma hustro ade Citerat R. Ja, "
2,Kexholm,0544_0546,"lden att uthfordra, och sedhan aldrig begiärt af denne Simon något adsisten- ce att få samma giäldh inkrafd, hafwer och Hendrich Pirhoin så wäl som dee andre borgare som giorde försträckning till Borgme- "
3,Kexholm,0589_0591,"dan sigh åtagdt att byggia på wara ö- en, som och allom skall wara där i förställen förbu- dit, att inkrachta något som till allmanne osatar af gammalt destinerat warit, den lilla gatan som ähr brede wedh"
4,Kexholm,0678_0681,"8. Petter Olofs:e det han under resan till Inger- manland uti nästledne Februari Månadh haar låtit brotstäla von häst som hon hon hon medgifwit, dre"
5,Kexholm,0678_0681," 20 D K:M:t hwilhner till Mervin erlägger och betater och stånde dringen fritt, att sökia Tiufwen i Inger- manland igen det bäst hann kenn och gitter Soldaten af Commendantens och Öfwerste Leutnantens Wälb"
6,Kexholm,0820_0823,"endrich Hanson, Blef till förhör och Ransakning företagit det Barnmor Stude betingade wäll herdinge Ingridh Lars d:r Sich wonen å 30. åhr å Stadzens Marck i Östamo hoos bonden Lars Kyr¬ nen medio Julii ska"
7,Kexholm,0821_0824,"itunens hustro Margetha Jörans d:r hwilcken effter aflagdh Edh bekände att hon kunnat märckia denne Ingridh warit hafwande och fördenskuldh i bland frågat huru det wore medh henne beskaffat, men hon ltijdh"
8,Kexholm,0822_0825,"sigh det hoon haar stoor hufwudwerk, då hon henne swarat. Kanskee tu haar legat hoos man folck. Men Ingridh dertill nekat och sagdt: denne bruk haar jagh burit i många åhr, Häremoth hadhe In gridh eij hell"
9,Kexholm,0822_0825,ter effter aflagdh Edh giorde som dhe förre lijka bekännelse Undantagande det att hon eij frågat om Ingridh warit hafwande el:r icke Skinnaren Anders Sallinen afladhe sig Edh och giorde som dee andre uti d
10,Kexholm,0822_0825,"et å Fän huuskullan befundne blodige ställe medh mehra, luggiandes han detta dertill 8. dertill att Ingridh eij tillförenne någon gångh så tydigt skyndat Booskapen till Skogen, som hon samma morgoin giorde"
11,Kexholm,0842_0845,de han sigh huru hon komen att bekänna på honom som knapt haar warit i någon bekantskaph medh henne Ingredh swarade; Undra intet derpå du ähr rätta barn Fadren; henne tillspordes här dhe i förstone blifwit
12,Kexholm,0843_0846," Göök Söfring Toifwioin, Florentz Alholm, Bertill Bollijn Hendrich Hanßon Anders Pirhoin Blef kånan Ingredh igen framhafd och effter ford gången förmaning befaltes hon bekenna sanningen hwilcken henne häfd"
13,Kexholm,0843_0846,"ångit, alle eij utan det skaffat af wägen, blef saken sluten till fölliande. Sentens huruwähl Kånan Ingreds Sichwonen will sigh endskij att eij hafwa Barnemord begånget blått och alle a af det 3. af detb s"
14,Kexholm,0843_0846,"s Kongl. Maij:ttz allernådigste uthgångne Stadga om Barnemordh af den 15. Nov 1684. dy dömmes bemte Ingredh Sichwonen lijkmätigt huystbemte Kongl. Stadga att mista lijfwet och i bålebrännas, hwilcket den H"
15,Kexholm,0859_0862,"n Eekeström E Anders tilikain om Caution 14: J Jacob Mattson Pässö angif, för lönskeläger - - 1: 2: Ingredh Sichvonen dömes för Barnemord _ _ _ 2 - Jacob heutonen E. Samuel Silfwast om häste köp - - 4. Joh"
16,Kexholm,0958_0961,"an och Eedel:n wet bedyra, det enähr han kommit heem om een Mårgon bittiga, har Simon Ruonis hustru Ingred bendh /: hwillken är Syster till Pijspases hustru :/ beklagat 29. Maij. _ „ A:o 1699: sigh att hen"
17,Kexholm,0958_0961,"tillsammans medh sin syster, och med ordkastande sampt oenigheet skilldtz ifrån boar andra; det hon Ingred förtält och med fulla ordh uthsagdt, sålunda blifwer min Man lagförder för Pijspe: nens anklagande"
